movie,release_date,genre,averagerating,numvotes,production_budget,worldwide_gross,profit
Foodfight!,"Dec 31, 2012",Action,1.9,8248,45000000.0,73706.0,-44926294.0
Foodfight!,"Dec 31, 2012",Animation,1.9,8248,45000000.0,73706.0,-44926294.0
Foodfight!,"Dec 31, 2012",Comedy,1.9,8248,45000000.0,73706.0,-44926294.0
On the Road,"Mar 22, 2013",Adventure,6.1,37886,25000000.0,9313302.0,-15686698.0
On the Road,"Mar 22, 2013",Drama,6.1,37886,25000000.0,9313302.0,-15686698.0
On the Road,"Mar 22, 2013",Romance,6.1,37886,25000000.0,9313302.0,-15686698.0
The Secret Life of Walter Mitty,"Dec 25, 2013",Adventure,7.3,275300,91000000.0,187861183.0,96861183.0
The Secret Life of Walter Mitty,"Dec 25, 2013",Comedy,7.3,275300,91000000.0,187861183.0,96861183.0
The Secret Life of Walter Mitty,"Dec 25, 2013",Drama,7.3,275300,91000000.0,187861183.0,96861183.0
A Walk Among the Tombstones,"Sep 19, 2014",Action,6.5,105116,28000000.0,62108587.0,34108587.0
A Walk Among the Tombstones,"Sep 19, 2014",Crime,6.5,105116,28000000.0,62108587.0,34108587.0
A Walk Among the Tombstones,"Sep 19, 2014",Drama,6.5,105116,28000000.0,62108587.0,34108587.0
Jurassic World,"Jun 12, 2015",Action,7.0,539338,215000000.0,1648854864.0,1433854864.0
Jurassic World,"Jun 12, 2015",Adventure,7.0,539338,215000000.0,1648854864.0,1433854864.0
Jurassic World,"Jun 12, 2015",Sci-Fi,7.0,539338,215000000.0,1648854864.0,1433854864.0
The Rum Diary,"Oct 28, 2011",Comedy,6.2,94787,45000000.0,21544732.0,-23455268.0
The Rum Diary,"Oct 28, 2011",Drama,6.2,94787,45000000.0,21544732.0,-23455268.0
The Three Stooges,"Apr 13, 2012",Comedy,5.1,28570,30000000.0,54052249.0,24052249.0
The Three Stooges,"Apr 13, 2012",Family,5.1,28570,30000000.0,54052249.0,24052249.0
Anderson's Cross,"Dec 31, 2010",Comedy,5.5,106,300000.0,0.0,-300000.0
Anderson's Cross,"Dec 31, 2010",Drama,5.5,106,300000.0,0.0,-300000.0
Anderson's Cross,"Dec 31, 2010",Romance,5.5,106,300000.0,0.0,-300000.0
Tangled,"Nov 24, 2010",Adventure,7.8,366366,260000000.0,586477240.0,326477240.0
Tangled,"Nov 24, 2010",Animation,7.8,366366,260000000.0,586477240.0,326477240.0
Tangled,"Nov 24, 2010",Comedy,7.8,366366,260000000.0,586477240.0,326477240.0
John Carter,"Mar 9, 2012",Action,6.6,241792,275000000.0,282778100.0,7778100.0
John Carter,"Mar 9, 2012",Adventure,6.6,241792,275000000.0,282778100.0,7778100.0
John Carter,"Mar 9, 2012",Sci-Fi,6.6,241792,275000000.0,282778100.0,7778100.0
Action Jackson,"Feb 12, 1988",Action,3.3,2862,7000000.0,20257000.0,13257000.0
Action Jackson,"Feb 12, 1988",Thriller,3.3,2862,7000000.0,20257000.0,13257000.0
Dinner for Schmucks,"Jul 30, 2010",Comedy,5.9,91546,69000000.0,86796502.0,17796502.0
The A-Team,"Jun 11, 2010",Action,6.8,235256,110000000.0,177241171.0,67241171.0
The A-Team,"Jun 11, 2010",Adventure,6.8,235256,110000000.0,177241171.0,67241171.0
The A-Team,"Jun 11, 2010",Thriller,6.8,235256,110000000.0,177241171.0,67241171.0
The Possession,"Aug 31, 2012",Horror,5.9,53649,14000000.0,82925064.0,68925064.0
The Possession,"Aug 31, 2012",Mystery,5.9,53649,14000000.0,82925064.0,68925064.0
The Possession,"Aug 31, 2012",Thriller,5.9,53649,14000000.0,82925064.0,68925064.0
Real Steel,"Oct 7, 2011",Action,7.1,283534,110000000.0,263880341.0,153880341.0
Real Steel,"Oct 7, 2011",Drama,7.1,283534,110000000.0,263880341.0,153880341.0
Real Steel,"Oct 7, 2011",Family,7.1,283534,110000000.0,263880341.0,153880341.0
The Giver,"Aug 15, 2014",Drama,6.5,104999,25000000.0,66540205.0,41540205.0
The Giver,"Aug 15, 2014",Romance,6.5,104999,25000000.0,66540205.0,41540205.0
The Giver,"Aug 15, 2014",Sci-Fi,6.5,104999,25000000.0,66540205.0,41540205.0
Toy Story 3,"Jun 18, 2010",Adventure,8.3,682218,200000000.0,1068879522.0,868879522.0
Toy Story 3,"Jun 18, 2010",Animation,8.3,682218,200000000.0,1068879522.0,868879522.0
Toy Story 3,"Jun 18, 2010",Comedy,8.3,682218,200000000.0,1068879522.0,868879522.0
Alita: Battle Angel,"Feb 14, 2019",Action,7.5,88207,170000000.0,402976036.0,232976036.0
Alita: Battle Angel,"Feb 14, 2019",Adventure,7.5,88207,170000000.0,402976036.0,232976036.0
Alita: Battle Angel,"Feb 14, 2019",Sci-Fi,7.5,88207,170000000.0,402976036.0,232976036.0
Lincoln,"Nov 9, 2012",Biography,7.4,228701,65000000.0,273346281.0,208346281.0
Lincoln,"Nov 9, 2012",Drama,7.4,228701,65000000.0,273346281.0,208346281.0
Lincoln,"Nov 9, 2012",History,7.4,228701,65000000.0,273346281.0,208346281.0
Before We Go,"Sep 4, 2015",Comedy,6.8,45181,3000000.0,483938.0,-2516062.0
Before We Go,"Sep 4, 2015",Drama,6.8,45181,3000000.0,483938.0,-2516062.0
Before We Go,"Sep 4, 2015",Romance,6.8,45181,3000000.0,483938.0,-2516062.0
The History of Love,"Nov 18, 2016",Drama,6.3,1024,20000000.0,476624.0,-19523376.0
The History of Love,"Nov 18, 2016",Romance,6.3,1024,20000000.0,476624.0,-19523376.0
The History of Love,"Nov 18, 2016",War,6.3,1024,20000000.0,476624.0,-19523376.0
Shazam!,"Apr 5, 2019",Action,7.4,109051,85000000.0,362899733.0,277899733.0
Shazam!,"Apr 5, 2019",Adventure,7.4,109051,85000000.0,362899733.0,277899733.0
Shazam!,"Apr 5, 2019",Comedy,7.4,109051,85000000.0,362899733.0,277899733.0
Puss in Boots,"Oct 28, 2011",Action,6.6,133355,130000000.0,554987477.0,424987477.0
Puss in Boots,"Oct 28, 2011",Adventure,6.6,133355,130000000.0,554987477.0,424987477.0
Puss in Boots,"Oct 28, 2011",Animation,6.6,133355,130000000.0,554987477.0,424987477.0
Wonder Woman,"Jun 2, 2017",Action,7.5,487527,150000000.0,821133378.0,671133378.0
Wonder Woman,"Jun 2, 2017",Adventure,7.5,487527,150000000.0,821133378.0,671133378.0
Wonder Woman,"Jun 2, 2017",Fantasy,7.5,487527,150000000.0,821133378.0,671133378.0
